year,city,country,avg_temp
1922,New York,United States,10.04
1923,New York,United States,9.51
1924,New York,United States,8.85
1925,New York,United States,9.72
1926,New York,United States,8.54
1927,New York,United States,9.70
1928,New York,United States,9.82
1929,New York,United States,9.97
1930,New York,United States,10.22
1931,New York,United States,11.03
1932,New York,United States,10.44
1933,New York,United States,10.18
1934,New York,United States,9.48
1935,New York,United States,9.48
1936,New York,United States,9.73
1937,New York,United States,10.16
1938,New York,United States,10.42
1939,New York,United States,10.07
1940,New York,United States,8.53
1941,New York,United States,10.19
1942,New York,United States,9.96
1943,New York,United States,9.58
1944,New York,United States,10.01
1945,New York,United States,9.94
1946,New York,United States,10.63
1947,New York,United States,9.91
1948,New York,United States,9.83
1949,New York,United States,11.39
1950,New York,United States,9.72
1951,New York,United States,10.27
1952,New York,United States,10.52
1953,New York,United States,11.17
1954,New York,United States,10.31
1955,New York,United States,10.39
1956,New York,United States,9.75
1957,New York,United States,10.50
1958,New York,United States,9.16
1959,New York,United States,10.77
1960,New York,United States,9.76
1961,New York,United States,10.03
1962,New York,United States,9.32
1963,New York,United States,9.32
1964,New York,United States,9.96
1965,New York,United States,9.63
1966,New York,United States,9.75
1967,New York,United States,9.30
1968,New York,United States,9.75
1969,New York,United States,9.76
1970,New York,United States,9.77
1971,New York,United States,10.01
1972,New York,United States,9.49
1973,New York,United States,10.96
1974,New York,United States,10.08
1975,New York,United States,10.56
1976,New York,United States,9.53
1977,New York,United States,9.96
1978,New York,United States,9.17
1979,New York,United States,10.02
1980,New York,United States,9.86
1981,New York,United States,9.95
1982,New York,United States,9.78
1983,New York,United States,10.51
1984,New York,United States,10.26
1985,New York,United States,10.26
1986,New York,United States,10.15
1987,New York,United States,10.32
1988,New York,United States,9.93
1989,New York,United States,9.66
1990,New York,United States,11.32
1991,New York,United States,11.36
1992,New York,United States,9.57
1993,New York,United States,10.04
1994,New York,United States,10.00
1995,New York,United States,10.24
1996,New York,United States,9.81
1997,New York,United States,10.00
1998,New York,United States,11.82
1999,New York,United States,11.16
2000,New York,United States,9.97
2001,New York,United States,10.93
2002,New York,United States,11.25
2003,New York,United States,9.84
2004,New York,United States,10.39
2005,New York,United States,10.68
2006,New York,United States,11.52
2007,New York,United States,10.63
2008,New York,United States,10.64
2009,New York,United States,10.14
2010,New York,United States,11.36
2011,New York,United States,11.27
2012,New York,United States,11.97
2013,New York,United States,12.16
1743,Paris,France,7.65
1744,Paris,France,11.48
1745,Paris,France,4.73
1746,Paris,France,
1747,Paris,France,
1748,Paris,France,
1749,Paris,France,
1750,Paris,France,11.18
1751,Paris,France,11.15
1752,Paris,France,6.97
1753,Paris,France,10.40
1754,Paris,France,10.15
1755,Paris,France,9.84
1756,Paris,France,10.20
1757,Paris,France,10.02
1758,Paris,France,9.62
1759,Paris,France,10.66
1760,Paris,France,10.50
1761,Paris,France,10.55
1762,Paris,France,10.06
1763,Paris,France,9.83
1764,Paris,France,10.31
1765,Paris,France,10.15
1766,Paris,France,9.99
1767,Paris,France,10.01
1768,Paris,France,10.07
1769,Paris,France,10.10
1770,Paris,France,9.99
1771,Paris,France,9.98
1772,Paris,France,10.94
1773,Paris,France,10.35
1774,Paris,France,10.32
1775,Paris,France,10.92
1776,Paris,France,10.25
1777,Paris,France,10.17
1778,Paris,France,10.80
1779,Paris,France,11.36
1780,Paris,France,10.63
1781,Paris,France,11.40
1782,Paris,France,9.53
1783,Paris,France,11.01
1784,Paris,France,9.45
1785,Paris,France,9.49
1786,Paris,France,9.65
1787,Paris,France,10.53
1788,Paris,France,10.48
1789,Paris,France,9.80
1790,Paris,France,10.59
1791,Paris,France,10.65
1792,Paris,France,10.60
1793,Paris,France,10.66
1794,Paris,France,11.09
1795,Paris,France,10.37
1796,Paris,France,10.26
1797,Paris,France,10.55
1798,Paris,France,10.52
1799,Paris,France,8.89
1800,Paris,France,10.46
1801,Paris,France,10.64
1802,Paris,France,10.46
1803,Paris,France,9.90
1804,Paris,France,10.46
1805,Paris,France,9.09
1806,Paris,France,11.16
1807,Paris,France,10.24
1808,Paris,France,9.52
1809,Paris,France,9.90
1810,Paris,France,9.87
1811,Paris,France,11.17
1812,Paris,France,9.36
1813,Paris,France,9.77
1814,Paris,France,9.22
1815,Paris,France,10.06
1816,Paris,France,8.89
1817,Paris,France,10.06
1818,Paris,France,10.76
1819,Paris,France,10.79
1820,Paris,France,9.68
1821,Paris,France,10.67
1822,Paris,France,11.54
1823,Paris,France,10.00
1824,Paris,France,10.48
1825,Paris,France,10.87
1826,Paris,France,10.70
1827,Paris,France,10.08
1828,Paris,France,11.02
1829,Paris,France,8.76
1830,Paris,France,9.59
1831,Paris,France,10.80
1832,Paris,France,10.02
1833,Paris,France,10.26
1834,Paris,France,11.57
1835,Paris,France,10.18
1836,Paris,France,10.30
1837,Paris,France,9.80
1838,Paris,France,9.29
1839,Paris,France,10.19
1840,Paris,France,9.63
1841,Paris,France,10.15
1842,Paris,France,9.99
1843,Paris,France,10.36
1844,Paris,France,9.70
1845,Paris,France,9.43
1846,Paris,France,11.41
1847,Paris,France,10.01
1848,Paris,France,10.39
1849,Paris,France,10.34
1850,Paris,France,9.79
1851,Paris,France,9.76
1852,Paris,France,10.98
1853,Paris,France,9.32
1854,Paris,France,10.23
1855,Paris,France,8.98
1856,Paris,France,10.32
1857,Paris,France,10.88
1858,Paris,France,9.94
1859,Paris,France,11.09
1860,Paris,France,9.15
1861,Paris,France,10.30
1862,Paris,France,10.82
1863,Paris,France,10.78
1864,Paris,France,9.36
1865,Paris,France,10.78
1866,Paris,France,10.77
1867,Paris,France,10.10
1868,Paris,France,11.33
1869,Paris,France,10.31
1870,Paris,France,9.72
1871,Paris,France,9.43
1872,Paris,France,11.07
1873,Paris,France,10.36
1874,Paris,France,10.29
1875,Paris,France,10.17
1876,Paris,France,10.57
1877,Paris,France,10.49
1878,Paris,France,10.13
1879,Paris,France,8.68
1880,Paris,France,10.47
1881,Paris,France,9.87
1882,Paris,France,10.20
1883,Paris,France,9.97
1884,Paris,France,10.66
1885,Paris,France,9.78
1886,Paris,France,10.10
1887,Paris,France,9.05
1888,Paris,France,9.12
1889,Paris,France,9.48
1890,Paris,France,9.34
1891,Paris,France,9.53
1892,Paris,France,9.80
1893,Paris,France,10.79
1894,Paris,France,10.31
1895,Paris,France,9.83
1896,Paris,France,9.80
1897,Paris,France,10.48
1898,Paris,France,10.79
1899,Paris,France,10.74
1900,Paris,France,10.79
1901,Paris,France,9.90
1902,Paris,France,9.83
1903,Paris,France,10.27
1904,Paris,France,10.40
1905,Paris,France,10.01
1906,Paris,France,10.50
1907,Paris,France,10.11
1908,Paris,France,9.92
1909,Paris,France,9.59
1910,Paris,France,10.32
1911,Paris,France,11.16
1912,Paris,France,10.34
1913,Paris,France,10.76
1914,Paris,France,10.53
1915,Paris,France,10.21
1916,Paris,France,10.39
1917,Paris,France,9.37
1918,Paris,France,10.54
1919,Paris,France,9.69
1920,Paris,France,10.67
1921,Paris,France,11.43
1922,Paris,France,9.79
1923,Paris,France,10.46
1924,Paris,France,10.10
1925,Paris,France,10.11
1926,Paris,France,10.84
1927,Paris,France,10.32
1928,Paris,France,10.93
1929,Paris,France,10.10
1930,Paris,France,10.87
1931,Paris,France,9.94
1932,Paris,France,10.38
1933,Paris,France,10.32
1934,Paris,France,11.14
1935,Paris,France,10.62
1936,Paris,France,10.50
1937,Paris,France,10.93
1938,Paris,France,10.73
1939,Paris,France,10.55
1940,Paris,France,9.72
1941,Paris,France,9.93
1942,Paris,France,9.99
1943,Paris,France,11.20
1944,Paris,France,10.48
1945,Paris,France,11.30
1946,Paris,France,10.35
1947,Paris,France,11.29
1948,Paris,France,10.95
1949,Paris,France,11.51
1950,Paris,France,10.77
1951,Paris,France,10.59
1952,Paris,France,10.53
1953,Paris,France,10.84
1954,Paris,France,10.25
1955,Paris,France,10.44
1956,Paris,France,9.59
1957,Paris,France,10.94
1958,Paris,France,10.62
1959,Paris,France,11.66
1960,Paris,France,10.83
1961,Paris,France,11.43
1962,Paris,France,9.55
1963,Paris,France,9.14
1964,Paris,France,10.45
1965,Paris,France,9.94
1966,Paris,France,10.82
1967,Paris,France,10.77
1968,Paris,France,10.20
1969,Paris,France,10.53
1970,Paris,France,10.51
1971,Paris,France,10.63
1972,Paris,France,10.19
1973,Paris,France,10.57
1974,Paris,France,10.91
1975,Paris,France,10.73
1976,Paris,France,11.41
1977,Paris,France,10.69
1978,Paris,France,10.03
1979,Paris,France,10.05
1980,Paris,France,10.07
1981,Paris,France,10.66
1982,Paris,France,11.27
1983,Paris,France,11.17
1984,Paris,France,10.65
1985,Paris,France,9.87
1986,Paris,France,10.17
1987,Paris,France,10.05
1988,Paris,France,11.30
1989,Paris,France,11.77
1990,Paris,France,11.96
1991,Paris,France,10.60
1992,Paris,France,11.15
1993,Paris,France,10.70
1994,Paris,France,11.96
1995,Paris,France,11.69
1996,Paris,France,10.14
1997,Paris,France,11.59
1998,Paris,France,11.25
1999,Paris,France,11.83
2000,Paris,France,11.74
2001,Paris,France,11.37
2002,Paris,France,11.87
2003,Paris,France,11.91
2004,Paris,France,11.34
2005,Paris,France,11.55
2006,Paris,France,11.79
2007,Paris,France,11.75
2008,Paris,France,11.28
2009,Paris,France,11.46
2010,Paris,France,10.41
2011,Paris,France,12.33
2012,Paris,France,11.22
2013,Paris,France,11.01
1849,San Francisco,United States,14.12
1850,San Francisco,United States,13.80
1851,San Francisco,United States,14.39
1852,San Francisco,United States,13.81
1853,San Francisco,United States,14.40
1854,San Francisco,United States,13.98
1855,San Francisco,United States,14.20
1856,San Francisco,United States,14.10
1857,San Francisco,United States,14.78
1858,San Francisco,United States,14.19
1859,San Francisco,United States,13.71
1860,San Francisco,United States,13.81
1861,San Francisco,United States,14.88
1862,San Francisco,United States,14.43
1863,San Francisco,United States,14.43
1864,San Francisco,United States,15.18
1865,San Francisco,United States,14.32
1866,San Francisco,United States,14.67
1867,San Francisco,United States,14.46
1868,San Francisco,United States,14.25
1869,San Francisco,United States,14.57
1870,San Francisco,United States,14.19
1871,San Francisco,United States,14.34
1872,San Francisco,United States,14.63
1873,San Francisco,United States,14.46
1874,San Francisco,United States,14.09
1875,San Francisco,United States,14.76
1876,San Francisco,United States,14.44
1877,San Francisco,United States,15.03
1878,San Francisco,United States,14.37
1879,San Francisco,United States,14.20
1880,San Francisco,United States,13.22
1881,San Francisco,United States,14.39
1882,San Francisco,United States,13.58
1883,San Francisco,United States,13.93
1884,San Francisco,United States,14.05
1885,San Francisco,United States,15.05
1886,San Francisco,United States,14.58
1887,San Francisco,United States,14.38
1888,San Francisco,United States,14.70
1889,San Francisco,United States,14.81
1890,San Francisco,United States,14.05
1891,San Francisco,United States,14.46
1892,San Francisco,United States,14.05
1893,San Francisco,United States,13.40
1894,San Francisco,United States,13.80
1895,San Francisco,United States,13.95
1896,San Francisco,United States,14.22
1897,San Francisco,United States,13.81
1898,San Francisco,United States,13.77
1899,San Francisco,United States,14.04
1900,San Francisco,United States,14.64
1901,San Francisco,United States,14.34
1902,San Francisco,United States,14.07
1903,San Francisco,United States,14.12
1904,San Francisco,United States,14.50
1905,San Francisco,United States,14.39
1906,San Francisco,United States,14.81
1907,San Francisco,United States,14.34
1908,San Francisco,United States,14.01
1909,San Francisco,United States,14.05
1910,San Francisco,United States,14.17
1911,San Francisco,United States,13.46
1912,San Francisco,United States,13.95
1913,San Francisco,United States,14.38
1914,San Francisco,United States,14.33
1915,San Francisco,United States,14.30
1916,San Francisco,United States,13.61
1917,San Francisco,United States,14.06
1918,San Francisco,United States,14.14
1919,San Francisco,United States,13.60
1920,San Francisco,United States,13.72
1921,San Francisco,United States,14.24
1922,San Francisco,United States,13.61
1923,San Francisco,United States,14.13
1924,San Francisco,United States,14.10
1925,San Francisco,United States,14.34
1926,San Francisco,United States,15.14
1927,San Francisco,United States,14.24
1928,San Francisco,United States,14.32
1929,San Francisco,United States,14.25
1930,San Francisco,United States,14.25
1931,San Francisco,United States,14.93
1932,San Francisco,United States,14.24
1933,San Francisco,United States,13.93
1934,San Francisco,United States,15.31
1935,San Francisco,United States,14.12
1936,San Francisco,United States,15.13
1937,San Francisco,United States,14.36
1938,San Francisco,United States,14.35
1939,San Francisco,United States,14.81
1940,San Francisco,United States,15.12
1941,San Francisco,United States,14.98
1942,San Francisco,United States,14.20
1943,San Francisco,United States,14.72
1944,San Francisco,United States,14.17
1945,San Francisco,United States,14.41
1946,San Francisco,United States,13.83
1947,San Francisco,United States,14.51
1948,San Francisco,United States,13.65
1949,San Francisco,United States,13.90
1950,San Francisco,United States,14.66
1951,San Francisco,United States,14.06
1952,San Francisco,United States,14.11
1953,San Francisco,United States,14.42
1954,San Francisco,United States,14.18
1955,San Francisco,United States,13.74
1956,San Francisco,United States,14.08
1957,San Francisco,United States,14.59
1958,San Francisco,United States,15.41
1959,San Francisco,United States,15.39
1960,San Francisco,United States,14.59
1961,San Francisco,United States,14.65
1962,San Francisco,United States,14.22
1963,San Francisco,United States,14.19
1964,San Francisco,United States,14.24
1965,San Francisco,United States,14.14
1966,San Francisco,United States,14.74
1967,San Francisco,United States,14.50
1968,San Francisco,United States,14.66
1969,San Francisco,United States,14.51
1970,San Francisco,United States,14.76
1971,San Francisco,United States,13.89
1972,San Francisco,United States,14.25
1973,San Francisco,United States,14.58
1974,San Francisco,United States,14.41
1975,San Francisco,United States,13.82
1976,San Francisco,United States,14.72
1977,San Francisco,United States,14.63
1978,San Francisco,United States,14.96
1979,San Francisco,United States,14.99
1980,San Francisco,United States,14.74
1981,San Francisco,United States,15.22
1982,San Francisco,United States,14.00
1983,San Francisco,United States,15.07
1984,San Francisco,United States,14.97
1985,San Francisco,United States,14.23
1986,San Francisco,United States,15.00
1987,San Francisco,United States,14.95
1988,San Francisco,United States,15.08
1989,San Francisco,United States,14.45
1990,San Francisco,United States,14.73
1991,San Francisco,United States,14.50
1992,San Francisco,United States,15.53
1993,San Francisco,United States,14.97
1994,San Francisco,United States,14.21
1995,San Francisco,United States,15.31
1996,San Francisco,United States,15.56
1997,San Francisco,United States,15.75
1998,San Francisco,United States,14.38
1999,San Francisco,United States,14.41
2000,San Francisco,United States,15.02
2001,San Francisco,United States,15.25
2002,San Francisco,United States,15.00
2003,San Francisco,United States,15.43
2004,San Francisco,United States,15.37
2005,San Francisco,United States,15.17
2006,San Francisco,United States,15.02
2007,San Francisco,United States,14.94
2008,San Francisco,United States,15.05
2009,San Francisco,United States,15.02
2010,San Francisco,United States,14.67
2011,San Francisco,United States,14.50
2012,San Francisco,United States,15.05
2013,San Francisco,United States,16.23
1743,Toronto,Canada,-0.11
1744,Toronto,Canada,8.38
1745,Toronto,Canada,-3.96
1746,Toronto,Canada,
1747,Toronto,Canada,
1748,Toronto,Canada,
1749,Toronto,Canada,
1750,Toronto,Canada,6.29
1751,Toronto,Canada,6.84
1752,Toronto,Canada,-1.10
1753,Toronto,Canada,5.76
1754,Toronto,Canada,5.94
1755,Toronto,Canada,2.81
1756,Toronto,Canada,6.37
1757,Toronto,Canada,5.13
1758,Toronto,Canada,4.37
1759,Toronto,Canada,5.27
1760,Toronto,Canada,3.74
1761,Toronto,Canada,6.25
1762,Toronto,Canada,5.79
1763,Toronto,Canada,3.32
1764,Toronto,Canada,5.76
1765,Toronto,Canada,5.14
1766,Toronto,Canada,6.27
1767,Toronto,Canada,4.74
1768,Toronto,Canada,4.81
1769,Toronto,Canada,5.44
1770,Toronto,Canada,5.35
1771,Toronto,Canada,6.23
1772,Toronto,Canada,5.93
1773,Toronto,Canada,6.22
1774,Toronto,Canada,5.64
1775,Toronto,Canada,6.64
1776,Toronto,Canada,5.69
1777,Toronto,Canada,5.23
1778,Toronto,Canada,3.18
1779,Toronto,Canada,6.10
1780,Toronto,Canada,8.70
1781,Toronto,Canada,5.96
1782,Toronto,Canada,5.39
1783,Toronto,Canada,5.11
1784,Toronto,Canada,4.90
1785,Toronto,Canada,4.83
1786,Toronto,Canada,5.35
1787,Toronto,Canada,5.37
1788,Toronto,Canada,6.00
1789,Toronto,Canada,5.70
1790,Toronto,Canada,5.64
1791,Toronto,Canada,5.72
1792,Toronto,Canada,5.15
1793,Toronto,Canada,6.02
1794,Toronto,Canada,6.05
1795,Toronto,Canada,5.60
1796,Toronto,Canada,5.48
1797,Toronto,Canada,5.21
1798,Toronto,Canada,6.03
1799,Toronto,Canada,5.62
1800,Toronto,Canada,5.85
1801,Toronto,Canada,6.23
1802,Toronto,Canada,6.46
1803,Toronto,Canada,6.23
1804,Toronto,Canada,6.02
1805,Toronto,Canada,6.49
1806,Toronto,Canada,5.70
1807,Toronto,Canada,5.49
1808,Toronto,Canada,5.66
1809,Toronto,Canada,4.90
1810,Toronto,Canada,5.24
1811,Toronto,Canada,5.38
1812,Toronto,Canada,3.97
1813,Toronto,Canada,5.31
1814,Toronto,Canada,5.16
1815,Toronto,Canada,4.52
1816,Toronto,Canada,4.00
1817,Toronto,Canada,4.12
1818,Toronto,Canada,4.84
1819,Toronto,Canada,5.07
1820,Toronto,Canada,5.08
1821,Toronto,Canada,4.88
1822,Toronto,Canada,5.64
1823,Toronto,Canada,4.86
1824,Toronto,Canada,5.38
1825,Toronto,Canada,6.46
1826,Toronto,Canada,6.23
1827,Toronto,Canada,6.03
1828,Toronto,Canada,6.82
1829,Toronto,Canada,5.46
1830,Toronto,Canada,6.23
1831,Toronto,Canada,4.96
1832,Toronto,Canada,5.90
1833,Toronto,Canada,5.88
1834,Toronto,Canada,6.16
1835,Toronto,Canada,5.11
1836,Toronto,Canada,4.27
1837,Toronto,Canada,4.89
1838,Toronto,Canada,4.48
1839,Toronto,Canada,5.62
1840,Toronto,Canada,5.88
1841,Toronto,Canada,5.33
1842,Toronto,Canada,5.75
1843,Toronto,Canada,4.81
1844,Toronto,Canada,5.80
1845,Toronto,Canada,5.81
1846,Toronto,Canada,6.47
1847,Toronto,Canada,5.11
1848,Toronto,Canada,5.68
1849,Toronto,Canada,5.18
1850,Toronto,Canada,5.45
1851,Toronto,Canada,5.45
1852,Toronto,Canada,5.27
1853,Toronto,Canada,5.70
1854,Toronto,Canada,5.90
1855,Toronto,Canada,5.16
1856,Toronto,Canada,4.26
1857,Toronto,Canada,4.64
1858,Toronto,Canada,5.93
1859,Toronto,Canada,5.54
1860,Toronto,Canada,5.58
1861,Toronto,Canada,5.45
1862,Toronto,Canada,5.21
1863,Toronto,Canada,5.36
1864,Toronto,Canada,5.47
1865,Toronto,Canada,5.70
1866,Toronto,Canada,4.88
1867,Toronto,Canada,5.11
1868,Toronto,Canada,4.59
1869,Toronto,Canada,4.74
1870,Toronto,Canada,6.22
1871,Toronto,Canada,5.26
1872,Toronto,Canada,4.83
1873,Toronto,Canada,4.64
1874,Toronto,Canada,5.47
1875,Toronto,Canada,3.47
1876,Toronto,Canada,5.41
1877,Toronto,Canada,6.48
1878,Toronto,Canada,7.15
1879,Toronto,Canada,5.36
1880,Toronto,Canada,6.19
1881,Toronto,Canada,6.31
1882,Toronto,Canada,5.97
1883,Toronto,Canada,4.06
1884,Toronto,Canada,5.29
1885,Toronto,Canada,3.83
1886,Toronto,Canada,5.17
1887,Toronto,Canada,5.30
1888,Toronto,Canada,4.39
1889,Toronto,Canada,5.96
1890,Toronto,Canada,5.71
1891,Toronto,Canada,6.28
1892,Toronto,Canada,5.40
1893,Toronto,Canada,4.83
1894,Toronto,Canada,6.64
1895,Toronto,Canada,5.12
1896,Toronto,Canada,5.75
1897,Toronto,Canada,5.89
1898,Toronto,Canada,6.59
1899,Toronto,Canada,5.70
1900,Toronto,Canada,6.47
1901,Toronto,Canada,5.70
1902,Toronto,Canada,5.80
1903,Toronto,Canada,5.79
1904,Toronto,Canada,3.85
1905,Toronto,Canada,5.21
1906,Toronto,Canada,6.19
1907,Toronto,Canada,4.83
1908,Toronto,Canada,6.22
1909,Toronto,Canada,5.83
1910,Toronto,Canada,5.77
1911,Toronto,Canada,6.43
1912,Toronto,Canada,4.82
1913,Toronto,Canada,6.68
1914,Toronto,Canada,5.59
1915,Toronto,Canada,6.00
1916,Toronto,Canada,5.89
1917,Toronto,Canada,3.91
1918,Toronto,Canada,5.57
1919,Toronto,Canada,6.54
1920,Toronto,Canada,5.24
1921,Toronto,Canada,7.75
1922,Toronto,Canada,6.50
1923,Toronto,Canada,5.49
1924,Toronto,Canada,4.86
1925,Toronto,Canada,5.63
1926,Toronto,Canada,4.34
1927,Toronto,Canada,6.10
1928,Toronto,Canada,5.86
1929,Toronto,Canada,5.47
1930,Toronto,Canada,6.44
1931,Toronto,Canada,7.56
1932,Toronto,Canada,6.62
1933,Toronto,Canada,6.66
1934,Toronto,Canada,5.44
1935,Toronto,Canada,5.60
1936,Toronto,Canada,5.55
1937,Toronto,Canada,6.32
1938,Toronto,Canada,6.91
1939,Toronto,Canada,6.14
1940,Toronto,Canada,5.06
1941,Toronto,Canada,6.68
1942,Toronto,Canada,6.26
1943,Toronto,Canada,5.19
1944,Toronto,Canada,6.49
1945,Toronto,Canada,5.90
1946,Toronto,Canada,6.90
1947,Toronto,Canada,6.18
1948,Toronto,Canada,6.38
1949,Toronto,Canada,7.31
1950,Toronto,Canada,5.64
1951,Toronto,Canada,6.26
1952,Toronto,Canada,7.01
1953,Toronto,Canada,7.51
1954,Toronto,Canada,6.24
1955,Toronto,Canada,6.97
1956,Toronto,Canada,5.75
1957,Toronto,Canada,6.42
1958,Toronto,Canada,5.62
1959,Toronto,Canada,6.40
1960,Toronto,Canada,5.90
1961,Toronto,Canada,6.46
1962,Toronto,Canada,5.89
1963,Toronto,Canada,5.49
1964,Toronto,Canada,6.50
1965,Toronto,Canada,5.59
1966,Toronto,Canada,6.03
1967,Toronto,Canada,5.66
1968,Toronto,Canada,6.11
1969,Toronto,Canada,6.03
1970,Toronto,Canada,5.98
1971,Toronto,Canada,6.37
1972,Toronto,Canada,5.22
1973,Toronto,Canada,7.23
1974,Toronto,Canada,6.01
1975,Toronto,Canada,6.75
1976,Toronto,Canada,5.47
1977,Toronto,Canada,6.19
1978,Toronto,Canada,5.24
1979,Toronto,Canada,5.90
1980,Toronto,Canada,5.48
1981,Toronto,Canada,6.16
1982,Toronto,Canada,6.04
1983,Toronto,Canada,6.78
1984,Toronto,Canada,6.42
1985,Toronto,Canada,6.13
1986,Toronto,Canada,6.56
1987,Toronto,Canada,7.46
1988,Toronto,Canada,6.56
1989,Toronto,Canada,5.70
1990,Toronto,Canada,7.41
1991,Toronto,Canada,7.55
1992,Toronto,Canada,5.79
1993,Toronto,Canada,5.87
1994,Toronto,Canada,5.95
1995,Toronto,Canada,6.38
1996,Toronto,Canada,5.81
1997,Toronto,Canada,6.00
1998,Toronto,Canada,8.54
1999,Toronto,Canada,7.75
2000,Toronto,Canada,6.67
2001,Toronto,Canada,7.76
2002,Toronto,Canada,7.48
2003,Toronto,Canada,6.02
2004,Toronto,Canada,6.40
2005,Toronto,Canada,7.22
2006,Toronto,Canada,7.85
2007,Toronto,Canada,7.07
2008,Toronto,Canada,6.58
2009,Toronto,Canada,6.28
2010,Toronto,Canada,7.77
2011,Toronto,Canada,7.30
2012,Toronto,Canada,8.66
2013,Toronto,Canada,8.46
